"물량·요금별(1)",2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"접수물량 (천통)",111035,119679,129814,125175,154348,144954,137301,164730,188715,214437,263240
"요금 (백만원)",285298,305416,328361,323071,388239,347747,330105,387546,439696,495601,582814
