,year,month,day,status
232,2018,3,23,비 안개비 안개 박무
233,2018,3,24,안개비 박무
234,2018,3,25,박무 연무
235,2018,3,26,비 안개 박무 연무
236,2018,3,27,비 안개 박무
237,2018,3,28, 
238,2018,3,29,비 눈 진눈깨비
239,2018,3,30,눈 박무
240,2018,3,31,박무 연무
241,2018,11,1, 
242,2018,11,2, 
243,2018,11,3, 
244,2018,11,4, 
245,2018,11,5, 
246,2018,11,6, 
247,2018,11,7, 
248,2018,11,8, 
249,2018,11,9,박무
250,2018,11,10, 
251,2018,11,11,박무 연무
252,2018,11,12,박무 연무
253,2018,11,13,박무 연무
254,2018,11,14,박무 연무
255,2018,11,15,비 안개 박무
256,2018,11,16,비 안개 박무
257,2018,11,17,비 안개비 박무 연무
258,2018,11,18,박무 연무
259,2018,11,19,비 안개 박무
260,2018,11,20,박무
261,2018,11,21,박무 연무
262,2018,11,22,박무 연무
263,2018,11,23,박무
264,2018,11,24,박무 연무
265,2018,11,25,박무
266,2018,11,26, 
267,2018,11,27,박무 연무
268,2018,11,28, 
269,2018,11,29,비 박무 연무
270,2018,11,30,박무
271,2018,12,1, 
272,2018,12,2, 
273,2018,12,3, 
274,2018,12,4, 
275,2018,12,5, 
276,2018,12,6, 
277,2018,12,7, 
278,2018,12,8, 
279,2018,12,9, 
280,2018,12,10, 
281,2018,12,11, 
282,2018,12,12, 
283,2018,12,13,박무 연무
284,2018,12,14,박무
285,2018,12,15,비 안개비 안개 박무
286,2018,12,16,비 박무
287,2018,12,17, 
288,2018,12,18,눈 박무
289,2018,12,19,눈
290,2018,12,20, 
291,2018,12,21, 
292,2018,12,22, 
293,2018,12,23,눈 박무
294,2018,12,24,박무
295,2018,12,25,눈 진눈깨비 박무
296,2018,12,26, 
297,2018,12,27,박무 연무
298,2018,12,28,비 눈 박무
299,2018,12,29,비 박무 연무
300,2018,12,30,박무
301,2018,12,31,비 박무 연무
302,2019,1,1, 
303,2019,1,2, 
304,2019,1,3, 
305,2019,1,4, 
306,2019,1,5,소낙눈 박무
307,2019,1,6, 
308,2019,1,7,박무
309,2019,1,8,연무
310,2019,1,9,박무 연무
311,2019,1,10, 
312,2019,1,11,연무
313,2019,1,12,박무 연무
314,2019,1,13, 
315,2019,1,14, 
316,2019,1,15,박무 연무
317,2019,1,16,비 안개 박무 연무
318,2019,1,17,박무 연무
319,2019,1,18,박무 연무
320,2019,1,19,비 눈 진눈깨비 박무 연무
321,2019,1,20, 
322,2019,1,21,눈 박무 연무
323,2019,1,22,박무 연무
324,2019,1,23,박무 연무
325,2019,1,24,비 연무
326,2019,1,25, 
327,2019,1,26,박무 연무
328,2019,1,27,박무 연무
329,2019,1,28, 
330,2019,1,29, 
331,2019,1,30, 
332,2019,1,31, 
333,2019,2,1, 
334,2019,2,2, 
335,2019,2,3, 
336,2019,2,4, 
337,2019,2,5, 
338,2019,2,6, 
339,2019,2,7, 
340,2019,2,8, 
341,2019,2,9, 
342,2019,2,10, 
343,2019,2,11,박무
344,2019,2,12,비 박무 연무
345,2019,2,13,비 안개 박무 연무
346,2019,2,14,박무 연무
347,2019,2,15,연무
348,2019,2,16,박무 연무
349,2019,2,17,비 박무 연무
350,2019,2,18, 
351,2019,2,19, 
352,2019,2,20, 
353,2019,2,21, 
354,2019,2,22,연무
355,2019,2,23,연무
356,2019,2,24, 
357,2019,2,25,눈 연무
358,2019,2,26,눈 박무 연무
359,2019,2,27,박무 연무
360,2019,2,28,비
361,2019,3,1, 
362,2019,3,2, 
363,2019,3,3, 
364,2019,3,4, 
365,2019,3,5, 
366,2019,3,6, 
367,2019,3,7, 
368,2019,3,8, 
369,2019,3,9, 
370,2019,3,10, 
371,2019,3,11,안개 박무 연무
372,2019,3,12,박무 연무
373,2019,3,13,연무
374,2019,3,14,연무
375,2019,3,15,안개 박무 연무
376,2019,3,16,연무
377,2019,3,17,박무 연무
378,2019,3,18,박무 연무
379,2019,3,19, 
380,2019,3,20,비 박무
381,2019,3,21,비 안개비 박무 연무
382,2019,3,22,비 박무 연무
383,2019,3,23, 
384,2019,3,24, 
385,2019,3,25,비 진눈깨비 박무 연무
386,2019,3,26,박무
387,2019,3,27,박무
388,2019,3,28, 
389,2019,3,29,박무 연무
390,2019,3,30,비 안개 박무 연무
391,2019,3,31,비 안개비 안개 박무
392,2019,11,1, 
393,2019,11,2, 
394,2019,11,3, 
395,2019,11,4, 
396,2019,11,5, 
397,2019,11,6, 
398,2019,11,7, 
399,2019,11,8, 
400,2019,11,9, 
401,2019,11,10, 
402,2019,11,11,박무 연무
403,2019,11,12,박무
404,2019,11,13,박무 연무
405,2019,11,14, 
406,2019,11,15,박무
407,2019,11,16,박무
408,2019,11,17, 
409,2019,11,18, 
410,2019,11,19, 
411,2019,11,20,비 소나기 박무
412,2019,11,21,비 박무
413,2019,11,22,박무
414,2019,11,23,비 박무
415,2019,11,24,비
416,2019,11,25,비
417,2019,11,26,비 박무 연무
418,2019,11,27,비 안개 박무
419,2019,11,28,비 안개 박무 황사
420,2019,11,29,비 눈 진눈깨비 싸락눈
421,2019,11,30, 
422,2019,12,1,비 안개 박무
423,2019,12,2,소낙성진눈깨비 박무
424,2019,12,3,비 박무
425,2019,12,4,비 박무
426,2019,12,5, 
427,2019,12,6, 
428,2019,12,7,박무
429,2019,12,8,박무 연무
430,2019,12,9,박무 연무
431,2019,12,10,박무 연무
432,2019,12,11,비 박무 연무
433,2019,12,12, 
434,2019,12,13,채운
435,2019,12,14,비 박무
436,2019,12,15,박무
437,2019,12,16,박무
438,2019,12,17,비 박무
439,2019,12,18,박무 연무
440,2019,12,19, 
441,2019,12,20,눈 싸락눈 박무
442,2019,12,21,박무 연무
443,2019,12,22,박무 연무
444,2019,12,23,비 박무 연무
445,2019,12,24,박무 연무
446,2019,12,25,안개 박무 연무
447,2019,12,26,비 진눈깨비 박무 연무
448,2019,12,27,박무
449,2019,12,28, 
450,2019,12,29, 
451,2019,12,30, 
452,2019,12,31, 
