,year,month,day,avg_temp,high_temp,low_temp,avg_cloud,daily_rain
129,2017,12,10,.1,.1,1.0,.8,.0
130,2017,12,11,4.2,.0,8.2,.8,.6
131,2017,12,12,6.9,2.0,11.4,.3,
132,2017,12,13,5.9,.5,9.9,.0,
133,2017,12,14,4.9,.8,11.0,.8,
134,2017,12,15,1.3,.6,8.1,.4,
135,2017,12,16,2.1,.1,5.7,.6,.0
136,2017,12,17,5.1,.4,9.4,.8,
137,2017,12,18,.0,.0,6.4,.5,.0
138,2017,12,19,2.1,.6,5.7,.5,.5
139,2017,12,20,1.3,.6,8.3,.9,.8
140,2017,12,21,0.6,.5,3.9,.5,
141,2017,12,22,.9,.1,3.9,.3,
142,2017,12,23,.9,1.5,1.1,.9,
143,2017,12,24,.2,.0,.7,.4,1.4
144,2017,12,25,0.2,.2,2.8,.1,
145,2017,12,26,1.1,.4,5.1,.6,.3
146,2017,12,27,5.1,.5,9.0,.0,
147,2017,12,28,1.6,.0,6.9,.8,
148,2017,12,29,.9,.2,0.5,.9,.0
149,2017,12,30,.5,.6,.1,.6,.9
150,2017,12,31,.3,.6,2.2,.8,.5
151,2018,1,1,0.7,.9,5.3,.5,
152,2018,1,2,1.0,.1,4.7,.1,
153,2018,1,3,2.4,.7,6.0,.3,
154,2018,1,4,2.9,0.2,6.3,.8,
155,2018,1,5,0.9,.9,3.7,.1,
156,2018,1,6,0.7,.6,5.0,.0,
157,2018,1,7,1.4,.2,6.6,.9,
158,2018,1,8,.5,.6,0.1,.8,.6
159,2018,1,9,1.5,.7,3.6,.0,.5
160,2018,1,10,5.1,1.0,9.0,.3,.6
161,2018,1,11,9.3,4.9,12.6,.9,.0
162,2018,1,12,8.4,3.9,13.7,.5,.0
163,2018,1,13,2.2,.3,6.4,.5,.1
164,2018,1,14,0.4,.0,7.3,.6,
165,2018,1,15,.5,1.0,.8,.6,
166,2018,1,16,.6,.4,.2,.5,.1
167,2018,1,17,.2,.0,.5,.4,1.2
168,2018,1,18,.7,.1,0.1,.9,.0
169,2018,1,19,.3,.8,3.6,.4,
170,2018,1,20,.8,.9,4.8,.8,
171,2018,1,21,.1,.5,4.0,.8,
172,2018,1,22,.0,.3,0.4,.3,.8
173,2018,1,23,7.3,0.4,11.4,.3,.0
174,2018,1,24,11.7,7.2,15.4,.4,
175,2018,1,25,10.9,5.6,16.3,.6,
176,2018,1,26,11.8,5.1,16.2,.0,
177,2018,1,27,8.5,1.1,15.6,.8,
178,2018,1,28,3.5,.6,7.1,.9,
179,2018,1,29,6.8,2.5,9.5,.0,
180,2018,1,30,4.4,.7,11.7,.3,
181,2018,1,31,0.1,.8,3.4,.0,
182,2018,2,1,2.1,.1,6.6,.0,
183,2018,2,2,2.7,.5,9.0,.6,
184,2018,2,3,4.7,1.4,8.2,.5,.0
185,2018,2,4,7.3,2.5,11.2,.0,.0
186,2018,2,5,8.1,2.4,12.5,.9,
187,2018,2,6,8.2,3.2,13.2,.5,.2
188,2018,2,7,7.3,.0,13.9,.0,.0
189,2018,2,8,3.8,.5,11.2,.0,
190,2018,2,9,.4,.0,5.7,.1,
191,2018,2,10,.5,.8,5.2,.4,
192,2018,2,11,3.7,.6,7.7,.1,.0
193,2018,2,12,4.8,0.4,9.5,.9,.4
194,2018,2,13,0.8,.4,6.7,.5,.9
195,2018,2,14,.6,1.6,0.8,.0,
196,2018,2,15,.8,.2,3.2,.1,
197,2018,2,16,.4,.5,5.2,.3,
198,2018,2,17,1.1,.1,4.9,.9,
199,2018,2,18,0.1,.3,3.7,.8,
200,2018,2,19,.5,.8,3.4,.6,
201,2018,2,20,.9,.1,3.3,.5,
202,2018,2,21,0.1,.4,3.8,.4,
203,2018,2,22,.5,.6,7.3,.6,.0
204,2018,2,23,.5,0.0,.2,.0,.0
205,2018,2,24,.0,1.8,.7,.3,
206,2018,2,25,.0,1.1,0.6,.9,
207,2018,2,26,.0,3.0,4.2,.3,
208,2018,2,27,.3,3.1,1.9,.8,
209,2018,2,28,.3,.9,.4,.8,5.0
210,2018,3,1,.0,.8,3.2,.5,.0
211,2018,3,2,.1,.7,6.2,.3,
212,2018,3,3,.6,8.7,1.7,.5,
213,2018,3,4,5.1,3.1,.5,.6,1.5
214,2018,3,5,.6,4.5,.3,.9,8.6
215,2018,3,6,.6,2.5,0.4,.5,
216,2018,3,7,.1,0.2,.2,.8,.0
217,2018,3,8,.9,.2,.6,.3,2.5
218,2018,3,9,.3,.4,.5,.3,
219,2018,3,10,.1,1.5,1.2,.4,
220,2018,3,11,.7,4.8,.2,.3,
221,2018,3,12,.6,7.6,.1,.0,
222,2018,3,13,2.4,0.8,.9,.6,
223,2018,3,14,6.3,4.2,.9,.4,
224,2018,3,15,3.7,5.8,0.6,0.0,6.6
225,2018,3,16,.6,0.8,.1,.1,.1
226,2018,3,17,.6,4.8,.4,.3,
227,2018,3,18,.8,1.4,.0,.9,.0
228,2018,3,19,.3,1.1,.5,0.0,2.0
229,2018,3,20,.9,0.3,.8,.3,
230,2018,3,21,.2,.9,0.3,0.0,3.5
231,2018,3,22,.2,2.2,.5,.0,.6
232,2018,3,23,.3,3.9,1.0,.5,
233,2018,3,24,.4,5.1,.7,.6,
234,2018,3,25,0.9,9.5,.4,.8,
235,2018,3,26,2.4,0.5,.9,.6,
236,2018,3,27,3.9,1.5,.3,.0,
237,2018,3,28,5.1,2.0,.3,.4,
238,2018,3,29,6.0,1.5,0.7,.3,
239,2018,3,30,5.6,1.6,0.4,.4,
240,2018,3,31,5.9,3.1,.2,.4,
241,2018,11,1,.7,5.9,.4,.0,
242,2018,11,2,.2,8.5,.8,.0,
243,2018,11,3,0.0,9.1,.0,.4,
244,2018,11,4,0.2,8.8,.7,.6,
245,2018,11,5,0.5,7.8,.0,.5,
246,2018,11,6,1.5,9.4,.2,.5,
247,2018,11,7,2.6,4.0,1.0,0.0,.2
248,2018,11,8,4.0,6.5,2.5,.9,7.1
249,2018,11,9,1.6,4.9,.9,.1,.0
250,2018,11,10,1.1,7.4,.3,.5,
251,2018,11,11,.5,1.6,.7,.8,.0
252,2018,11,12,.8,4.7,.6,.1,
253,2018,11,13,.3,5.5,.0,.5,
254,2018,11,14,.0,6.8,.3,.5,
255,2018,11,15,.1,6.6,.3,.8,
256,2018,11,16,.7,4.2,.2,.0,
257,2018,11,17,.8,3.0,.2,.4,
258,2018,11,18,.5,1.3,.8,.6,
259,2018,11,19,.6,4.7,.8,.3,
260,2018,11,20,.2,4.0,.5,.3,
261,2018,11,21,.6,1.1,.8,.3,.4
262,2018,11,22,.8,.3,0.9,.1,
263,2018,11,23,.4,.2,2.3,.8,
264,2018,11,24,.9,.7,.0,.8,0.1
265,2018,11,25,.9,1.4,.7,.9,
266,2018,11,26,.1,4.4,.2,.5,
267,2018,11,27,.7,4.2,.4,.9,
268,2018,11,28,.2,0.7,.5,.6,
269,2018,11,29,.7,.4,0.7,.9,
270,2018,11,30,.7,1.6,.4,.6,
271,2018,12,1,.2,2.1,.0,.3,
272,2018,12,2,.0,5.0,.6,.0,
273,2018,12,3,2.6,5.0,.3,.9,0.6
274,2018,12,4,.5,4.6,.3,.9,6.8
275,2018,12,5,.5,.3,2.7,.1,
276,2018,12,6,.7,.7,.5,.3,.3
277,2018,12,7,3.7,.4,7.1,.4,.0
278,2018,12,8,6.6,2.3,9.9,.8,
279,2018,12,9,5.8,0.5,11.0,.3,
280,2018,12,10,2.8,.1,8.7,.4,
281,2018,12,11,0.8,.4,2.8,.0,.0
282,2018,12,12,1.2,.0,4.5,.8,
283,2018,12,13,0.8,.1,5.6,.6,.1
