困档,版档,穿利 傈玫老荤樊,穿利 流崔老荤樊,穿利 魂鄂老荤樊,穿利 傈玫老荤樊(瘤屈),穿利 流崔老荤樊(瘤屈),穿利 魂鄂老荤樊(瘤屈),SIG_CD,SIG_ENG_NM,SIG_KOR_NM
36.483,127.373,292.125,325.267,95.779,292.079,324.185,95.756,"30200",Yuseong-gu,蜡己备
36.483,127.392,291.539,324.398,95.528,291.506,324.398,95.496,"30200",Yuseong-gu,蜡己备
36.467,127.372,297.197,328.64,98.01,297.176,328.64,97.989,"30200",Yuseong-gu,蜡己备
36.467,127.392,294.676,326.21,96.614,294.61,325.098,96.571,"30200",Yuseong-gu,蜡己备
36.467,127.468,287.07,316.671,94.652,286.999,316.671,94.581,"30230",Daedeok-gu,措傣备
36.452,127.372,301.56,332.991,99.113,301.523,332.991,99.076,"30200",Yuseong-gu,蜡己备
36.452,127.391,300.639,332.919,99.002,300.521,330.841,98.944,"30200",Yuseong-gu,蜡己备
36.452,127.41,300.211,331.938,98.801,300.144,330.819,98.757,"30230",Daedeok-gu,措傣备
36.452,127.429,297.777,328.24,98.153,297.733,328.24,98.109,"30230",Daedeok-gu,措傣备
36.451,127.467,291.127,320.17,96.216,291.095,320.17,96.184,"30230",Daedeok-gu,措傣备
36.451,127.487,289.879,318.83,95.908,289.837,318.83,95.867,"30230",Daedeok-gu,措傣备
36.437,127.353,302.234,332.171,99.464,302.199,332.171,99.429,"30200",Yuseong-gu,蜡己备
36.437,127.372,297.125,327.812,98.036,296.978,325.563,97.956,"30200",Yuseong-gu,蜡己备
36.437,127.391,301.049,333.537,99.141,300.899,331.285,99.058,"30200",Yuseong-gu,蜡己备
36.436,127.41,301.065,332.765,99.18,300.99,331.443,99.134,"30230",Daedeok-gu,措傣备
36.436,127.429,303.243,335.077,99.418,303.188,334.477,99.374,"30230",Daedeok-gu,措傣备
36.436,127.448,303.694,334.725,99.975,303.665,334.725,99.946,"30230",Daedeok-gu,措傣备
36.436,127.467,298.661,329.132,98.276,298.635,329.132,98.25,"30230",Daedeok-gu,措傣备
36.436,127.486,296.913,326.597,97.828,296.881,326.597,97.796,"30110",Dong-gu,悼备
36.422,127.296,306.898,336.571,101.381,306.811,336.571,101.294,"30200",Yuseong-gu,蜡己备
36.422,127.315,302.539,333.159,99.619,302.499,333.159,99.579,"30200",Yuseong-gu,蜡己备
36.422,127.334,299.943,329.776,99.183,299.91,329.776,99.15,"30200",Yuseong-gu,蜡己备
36.422,127.353,299.276,328.523,99.319,299.184,327.463,99.249,"30200",Yuseong-gu,蜡己备
