困档,版档,穿利 傈玫老荤樊,穿利 流崔老荤樊,穿利 魂鄂老荤樊,穿利 傈玫老荤樊(瘤屈),穿利 流崔老荤樊(瘤屈),穿利 魂鄂老荤樊(瘤屈),SIG_CD,SIG_ENG_NM,SIG_KOR_NM
36.483,127.373,421.616,495.694,125.16,421.583,495.569,125.129,"30200",Yuseong-gu,蜡己备
36.483,127.392,416.555,490.987,123.544,416.513,490.987,123.502,"30200",Yuseong-gu,蜡己备
36.467,127.372,422.98,494.816,125.311,422.953,494.816,125.284,"30200",Yuseong-gu,蜡己备
36.467,127.392,418.047,490.654,123.758,417.986,490.435,123.702,"30200",Yuseong-gu,蜡己备
36.467,127.468,415.89,492.147,121.725,415.799,492.147,121.634,"30230",Daedeok-gu,措傣备
36.452,127.372,426.34,497.223,126.853,426.292,497.223,126.805,"30200",Yuseong-gu,蜡己备
36.452,127.391,424.263,496.208,125.753,424.15,494.983,125.679,"30200",Yuseong-gu,蜡己备
36.452,127.41,425.78,498.536,126.087,425.719,498.315,126.031,"30230",Daedeok-gu,措傣备
36.452,127.429,418.786,493.223,123.379,418.731,493.223,123.324,"30230",Daedeok-gu,措傣备
36.451,127.467,415.576,491.43,122.323,415.535,491.43,122.281,"30230",Daedeok-gu,措傣备
36.451,127.487,410.843,485.757,120.478,410.791,485.757,120.426,"30230",Daedeok-gu,措傣备
36.437,127.353,424.063,496.712,126.233,424.018,496.712,126.189,"30200",Yuseong-gu,蜡己备
36.437,127.372,424.913,496.209,127.061,424.768,494.95,126.957,"30200",Yuseong-gu,蜡己备
36.437,127.391,425.951,497.228,126.616,425.804,495.954,126.51,"30200",Yuseong-gu,蜡己备
36.436,127.41,425.115,498.705,125.839,425.034,497.871,125.781,"30230",Daedeok-gu,措傣备
36.436,127.429,418.558,492.972,122.762,418.502,492.911,122.708,"30230",Daedeok-gu,措傣备
36.436,127.448,418.88,492.926,123.177,418.845,492.926,123.141,"30230",Daedeok-gu,措傣备
36.436,127.467,420.828,496.649,124.481,420.794,496.649,124.448,"30230",Daedeok-gu,措傣备
36.436,127.486,420.477,496.345,124.2,420.436,496.345,124.16,"30110",Dong-gu,悼备
36.422,127.296,420.228,493.451,126.16,420.12,493.451,126.052,"30200",Yuseong-gu,蜡己备
36.422,127.315,422.94,495.228,126.745,422.89,495.228,126.695,"30200",Yuseong-gu,蜡己备
36.422,127.334,418.836,490.25,125.18,418.794,490.25,125.138,"30200",Yuseong-gu,蜡己备
36.422,127.353,417.798,490.003,124.664,417.708,489.881,124.576,"30200",Yuseong-gu,蜡己备
36.421,127.372,414.583,486.298,123.254,414.432,485.013,123.145,"30200",Yuseong-gu,蜡己备
36.421,127.391,415.157,486.66,123.134,415.026,485.451,123.042,"30200",Yuseong-gu,蜡己备
36.421,127.41,419.677,493.238,124.388,419.596,492.986,124.312,"30200",Yuseong-gu,蜡己备
36.421,127.429,421.657,496.377,124.441,421.567,496.377,124.351,"30230",Daedeok-gu,措傣备
36.421,127.448,417.618,491.74,123.169,417.57,491.74,123.121,"30230",Daedeok-gu,措傣备
