困档,版档,穿利 傈玫老荤樊,穿利 流崔老荤樊,穿利 魂鄂老荤樊,穿利 傈玫老荤樊(瘤屈),穿利 流崔老荤樊(瘤屈),穿利 魂鄂老荤樊(瘤屈),SIG_CD,SIG_ENG_NM,SIG_KOR_NM
36.483,127.373,305.534,523.652,77.836,305.515,523.652,77.817,"30200",Yuseong-gu,蜡己备
36.483,127.392,308.261,529.663,77.717,308.231,529.501,77.691,"30200",Yuseong-gu,蜡己备
36.467,127.372,304.552,520.08,77.641,304.536,520.08,77.625,"30200",Yuseong-gu,蜡己备
36.467,127.392,307.471,527.102,77.758,307.382,525.203,77.723,"30200",Yuseong-gu,蜡己备
36.467,127.468,310.857,540.311,76.234,310.796,540.141,76.177,"30230",Daedeok-gu,措傣备
36.452,127.372,308.291,524.641,79.227,308.15,521.266,79.197,"30200",Yuseong-gu,蜡己备
36.452,127.391,308.177,528.603,78.529,308.023,525.316,78.484,"30200",Yuseong-gu,蜡己备
36.452,127.41,305.154,522.814,76.788,305.112,522.463,76.754,"30230",Daedeok-gu,措傣备
36.452,127.429,304.204,521.4,76.127,304.167,521.234,76.092,"30230",Daedeok-gu,措傣备
36.451,127.467,310.801,539.779,76.133,310.775,539.779,76.108,"30230",Daedeok-gu,措傣备
36.451,127.487,303.081,528.149,74.191,303.046,527.978,74.159,"30230",Daedeok-gu,措傣备
36.437,127.353,306.59,523.23,79.391,306.562,523.23,79.363,"30200",Yuseong-gu,蜡己备
36.437,127.372,308.127,524.915,79.117,308.011,523.09,79.052,"30200",Yuseong-gu,蜡己备
36.437,127.391,310.664,530.785,78.977,310.525,528.372,78.911,"30200",Yuseong-gu,蜡己备
36.436,127.41,309.279,528.331,78.108,309.236,527.981,78.072,"30230",Daedeok-gu,措傣备
36.436,127.429,302.55,520.865,75.808,302.513,520.715,75.775,"30230",Daedeok-gu,措傣备
36.436,127.448,303.11,521.436,75.854,303.088,521.436,75.832,"30230",Daedeok-gu,措傣备
36.436,127.467,305.389,528.224,75.775,305.369,528.224,75.754,"30230",Daedeok-gu,措傣备
36.436,127.486,303.182,525.612,74.365,303.158,525.612,74.34,"30110",Dong-gu,悼备
36.422,127.296,299.676,508.404,78.783,299.571,506.986,78.716,"30200",Yuseong-gu,蜡己备
36.422,127.315,307.858,521.801,80.556,307.823,521.644,80.524,"30200",Yuseong-gu,蜡己备
36.422,127.334,307.43,522.919,79.764,307.398,522.632,79.737,"30200",Yuseong-gu,蜡己备
36.422,127.353,306.341,522.594,79.091,306.279,522.302,79.035,"30200",Yuseong-gu,蜡己备
36.421,127.372,307.701,524.495,78.806,307.608,523.558,78.737,"30200",Yuseong-gu,蜡己备
36.421,127.391,308.302,527.836,78.175,308.22,526.886,78.116,"30200",Yuseong-gu,蜡己备
36.421,127.41,307.908,526.695,77.975,307.857,526.531,77.927,"30200",Yuseong-gu,蜡己备
36.421,127.429,310.333,531.736,78.068,310.277,531.736,78.012,"30230",Daedeok-gu,措傣备
36.421,127.448,301.787,518.8,75.295,301.758,518.8,75.266,"30230",Daedeok-gu,措傣备
36.421,127.467,303.489,522.59,75.826,303.383,519.994,75.801,"30230",Daedeok-gu,措傣备
36.42,127.486,300.826,519.731,74.659,300.803,519.731,74.636,"30110",Dong-gu,悼备
36.42,127.524,304.686,529.992,73.337,304.656,529.801,73.311,"30110",Dong-gu,悼备
36.407,127.296,300.86,509.907,78.861,300.545,504.177,78.8,"30200",Yuseong-gu,蜡己备
36.406,127.315,305.61,518.59,79.658,305.466,515.423,79.618,"30200",Yuseong-gu,蜡己备
36.406,127.334,310.756,527.69,80.524,310.632,525.973,80.449,"30200",Yuseong-gu,蜡己备
36.406,127.353,313.644,531.819,81.143,313.512,530.3,81.052,"30200",Yuseong-gu,蜡己备
36.406,127.372,310.513,526.903,80.087,310.477,526.741,80.054,"30200",Yuseong-gu,蜡己备
36.406,127.391,311.231,531.511,79.104,311.178,531.208,79.058,"30200",Yuseong-gu,蜡己备
36.406,127.41,311.533,532.683,78.94,311.464,532.374,78.878,"30200",Yuseong-gu,蜡己备
36.406,127.429,309.311,529.668,77.972,309.208,529.668,77.868,"30230",Daedeok-gu,措傣备
36.405,127.448,306.943,527.702,77.314,306.909,527.702,77.28,"30230",Daedeok-gu,措傣备
36.405,127.467,307.803,529.872,76.997,307.582,525.219,76.956,"30110",Dong-gu,悼备
36.405,127.486,303.794,523.413,75.866,303.731,522.395,75.83,"30110",Dong-gu,悼备
36.405,127.505,307.672,537.871,74.008,307.522,535.201,73.942,"30110",Dong-gu,悼备
36.405,127.524,307.388,537.146,73.818,307.349,537.146,73.779,"30110",Dong-gu,悼备
36.404,127.543,309.89,538.325,74.904,309.858,538.325,74.873,"30110",Dong-gu,悼备
36.391,127.296,310.134,524.811,81.099,309.625,517.011,80.996,"30200",Yuseong-gu,蜡己备
36.391,127.315,310.244,526.543,80.753,309.954,521.553,80.669,"30200",Yuseong-gu,蜡己备
36.391,127.334,310.871,527.999,80.476,310.802,527.095,80.429,"30200",Yuseong-gu,蜡己备
36.391,127.353,311.437,527.605,80.63,311.377,527.274,80.577,"30200",Yuseong-gu,蜡己备
36.391,127.372,315.928,535.455,81.352,315.899,535.158,81.329,"30200",Yuseong-gu,蜡己备
36.39,127.391,314.218,533.913,80.025,314.176,533.749,79.987,"30200",Yuseong-gu,蜡己备
36.39,127.41,308.516,525.932,78.049,308.441,525.767,77.977,"30200",Yuseong-gu,蜡己备
36.39,127.429,309.664,529.003,78.401,309.563,529.003,78.3,"30230",Daedeok-gu,措傣备
36.39,127.448,310.776,532.95,78.235,310.764,532.95,78.223,"30230",Daedeok-gu,措傣备
36.39,127.467,310.196,533.007,77.91,310.148,533.007,77.863,"30110",Dong-gu,悼备
36.39,127.486,306.866,527.865,77.196,306.803,527.693,77.137,"30110",Dong-gu,悼备
36.389,127.505,309.694,541.17,74.314,309.604,540.772,74.232,"30110",Dong-gu,悼备
36.389,127.524,310.57,541.277,74.493,310.526,541.277,74.449,"30110",Dong-gu,悼备
36.376,127.296,315.156,532.059,82.299,314.646,525.416,82.143,"30200",Yuseong-gu,蜡己备
36.376,127.314,311.539,526.078,81.238,311.36,522.937,81.162,"30200",Yuseong-gu,蜡己备
36.376,127.334,310.094,525.082,80.226,309.933,521.892,80.171,"30200",Yuseong-gu,蜡己备
36.375,127.353,310.813,527.73,80.192,310.732,526.238,80.152,"30200",Yuseong-gu,蜡己备
36.375,127.371,312.516,531.489,80.603,312.447,530.562,80.557,"30200",Yuseong-gu,蜡己备
36.375,127.391,305.685,520.02,78.167,305.632,519.718,78.12,"30200",Yuseong-gu,蜡己备
36.375,127.41,304.783,518.957,77.851,304.721,518.957,77.789,"30230",Daedeok-gu,措傣备
36.375,127.428,304.153,518.068,77.276,304.004,518.068,77.127,"30230",Daedeok-gu,措傣备
36.375,127.448,307.896,525.607,77.714,307.849,525.607,77.667,"30230",Daedeok-gu,措傣备
36.374,127.466,309.812,530.41,78.145,309.736,530.41,78.068,"30110",Dong-gu,悼备
36.374,127.485,308.762,529.683,77.831,308.277,522.997,77.671,"30110",Dong-gu,悼备
36.374,127.504,309.946,541.75,74.257,309.787,539.944,74.15,"30110",Dong-gu,悼备
36.374,127.523,306.746,534.509,74.033,306.678,534.509,73.965,"30110",Dong-gu,悼备
36.361,127.276,313.401,528.371,82.135,313.335,527.503,82.091,"30200",Yuseong-gu,蜡己备
36.36,127.295,313.96,528.948,82.038,313.542,523.125,81.882,"30200",Yuseong-gu,蜡己备
36.36,127.314,313.253,529.018,81.707,312.927,523.473,81.625,"30200",Yuseong-gu,蜡己备
36.36,127.333,311.039,527.103,80.555,310.868,523.76,80.498,"30200",Yuseong-gu,蜡己备
36.36,127.352,311.636,527.704,80.619,311.524,525.446,80.576,"30200",Yuseong-gu,蜡己备
36.36,127.371,312.807,530.049,80.902,312.763,529.752,80.863,"30170",Seo-gu,辑备
36.36,127.39,311.842,528.003,80.47,311.799,527.839,80.43,"30170",Seo-gu,辑备
36.36,127.409,308.843,524.083,79.023,308.793,524.083,78.973,"30230",Daedeok-gu,措傣备
36.359,127.428,308.184,524.309,78.639,308.098,524.309,78.552,"30230",Daedeok-gu,措傣备
36.359,127.447,307.957,524.185,78.107,307.848,524.185,77.998,"30230",Daedeok-gu,措傣备
36.359,127.466,308.943,528.673,77.803,308.922,528.673,77.782,"30110",Dong-gu,悼备
36.359,127.485,309.548,530.239,77.926,309.282,526.72,77.783,"30110",Dong-gu,悼备
36.359,127.504,308.071,535.925,74.291,308.011,535.925,74.231,"30110",Dong-gu,悼备
36.345,127.295,312.589,526.829,81.403,312.053,519.451,81.247,"30200",Yuseong-gu,蜡己备
36.345,127.314,313.426,528.855,82.078,313.071,523.042,81.985,"30200",Yuseong-gu,蜡己备
36.345,127.333,313.424,528.564,81.639,313.272,525.543,81.586,"30200",Yuseong-gu,蜡己备
36.345,127.352,309.807,524.102,80.176,309.757,523.77,80.133,"30170",Seo-gu,辑备
36.345,127.371,311.509,528.885,80.317,311.485,528.885,80.293,"30170",Seo-gu,辑备
36.344,127.39,309.055,523.802,79.834,309.013,523.802,79.793,"30170",Seo-gu,辑备
36.344,127.409,311.577,528.245,79.953,311.529,528.245,79.905,"30140",Jung-gu,吝备
36.344,127.428,308.733,522.646,79.091,308.672,522.646,79.029,"30110",Dong-gu,悼备
36.344,127.447,306.606,520.465,77.606,306.519,520.465,77.519,"30110",Dong-gu,悼备
36.344,127.466,309.997,528.298,78.352,309.969,528.298,78.324,"30110",Dong-gu,悼备
36.344,127.485,306.031,522.885,77.59,305.959,522.885,77.518,"30110",Dong-gu,悼备
36.343,127.504,313.719,543.191,75.817,313.673,543.191,75.771,"30110",Dong-gu,悼备
