困档,版档,穿利 傈玫老荤樊,穿利 流崔老荤樊,穿利 魂鄂老荤樊,穿利 傈玫老荤樊(瘤屈),穿利 流崔老荤樊(瘤屈),穿利 魂鄂老荤樊(瘤屈),SIG_CD,SIG_ENG_NM,SIG_KOR_NM
36.483,127.373,218.393,402.374,61.927,218.378,402.374,61.912,"30200",Yuseong-gu,蜡己备
36.483,127.392,222.053,408.849,63.121,222.032,408.849,63.099,"30200",Yuseong-gu,蜡己备
36.467,127.372,219.947,405.151,62.289,219.934,405.151,62.276,"30200",Yuseong-gu,蜡己备
36.467,127.392,225.107,412.967,63.716,225.078,412.967,63.687,"30200",Yuseong-gu,蜡己备
36.467,127.468,227.246,417.989,63.678,227.198,417.989,63.63,"30230",Daedeok-gu,措傣备
36.452,127.372,225.03,413.965,63.594,225.007,413.965,63.57,"30200",Yuseong-gu,蜡己备
36.452,127.391,224.677,413.434,63.495,224.64,413.434,63.458,"30200",Yuseong-gu,蜡己备
36.452,127.41,226.391,415.609,63.919,226.362,415.609,63.891,"30230",Daedeok-gu,措傣备
36.452,127.429,228.637,420.321,64.542,228.608,420.321,64.513,"30230",Daedeok-gu,措傣备
36.451,127.467,226.955,416.654,63.641,226.933,416.654,63.619,"30230",Daedeok-gu,措傣备
36.451,127.487,229.77,420.027,64.687,229.742,420.027,64.659,"30230",Daedeok-gu,措傣备
36.437,127.353,223.425,410.794,63.165,223.403,410.794,63.143,"30200",Yuseong-gu,蜡己备
36.437,127.372,223.896,411.653,63.342,223.844,411.653,63.29,"30200",Yuseong-gu,蜡己备
36.437,127.391,225.993,415.164,63.806,225.94,415.164,63.752,"30200",Yuseong-gu,蜡己备
36.436,127.41,224.246,412.957,63.848,224.216,412.957,63.819,"30230",Daedeok-gu,措傣备
36.436,127.429,227.539,418.361,64.588,227.51,418.361,64.559,"30230",Daedeok-gu,措傣备
36.436,127.448,230.642,424.429,65.34,230.623,424.429,65.321,"30230",Daedeok-gu,措傣备
36.436,127.467,231.202,423.58,65.144,231.184,423.579,65.127,"30230",Daedeok-gu,措傣备
36.436,127.486,231.072,423.3,65.009,231.051,423.3,64.988,"30110",Dong-gu,悼备
36.422,127.296,212.843,392.141,60.627,212.791,392.141,60.575,"30200",Yuseong-gu,蜡己备
36.422,127.315,215.27,395.268,61.258,215.246,395.268,61.233,"30200",Yuseong-gu,蜡己备
36.422,127.334,218.253,400.845,61.624,218.233,400.845,61.604,"30200",Yuseong-gu,蜡己备
36.422,127.353,217.982,400.385,61.546,217.939,400.385,61.502,"30200",Yuseong-gu,蜡己备
36.421,127.372,220.347,403.833,62.276,220.292,403.833,62.221,"30200",Yuseong-gu,蜡己备
36.421,127.391,224.105,410.359,63.515,224.058,410.359,63.467,"30200",Yuseong-gu,蜡己备
36.421,127.41,223.168,407.469,63.222,223.129,407.469,63.183,"30200",Yuseong-gu,蜡己备
36.421,127.429,221.951,406.725,62.693,221.906,406.725,62.647,"30230",Daedeok-gu,措傣备
36.421,127.448,225.536,413.942,63.863,225.511,413.942,63.838,"30230",Daedeok-gu,措傣备
36.421,127.467,225.132,412.887,63.445,225.111,412.887,63.424,"30230",Daedeok-gu,措傣备
36.42,127.486,225.152,412.922,63.911,225.133,412.922,63.892,"30110",Dong-gu,悼备
36.42,127.524,232.612,428.159,64.59,232.589,428.159,64.567,"30110",Dong-gu,悼备
36.407,127.296,217.013,398.072,61.994,216.965,398.072,61.946,"30200",Yuseong-gu,蜡己备
36.406,127.315,220.137,402.561,62.726,220.106,402.561,62.695,"30200",Yuseong-gu,蜡己备
36.406,127.334,217.225,398.126,61.523,217.167,398.126,61.465,"30200",Yuseong-gu,蜡己备
36.406,127.353,218.548,400.568,61.955,218.479,400.568,61.886,"30200",Yuseong-gu,蜡己备
36.406,127.372,218.092,400.161,61.558,218.066,400.161,61.532,"30200",Yuseong-gu,蜡己备
36.406,127.391,222.123,405.556,62.734,222.086,405.556,62.698,"30200",Yuseong-gu,蜡己备
36.406,127.41,223.226,409.018,63.22,223.176,409.018,63.17,"30200",Yuseong-gu,蜡己备
36.406,127.429,219.994,404.836,62.278,219.912,404.836,62.196,"30230",Daedeok-gu,措傣备
36.405,127.448,226.33,415.713,63.955,226.302,415.713,63.927,"30230",Daedeok-gu,措傣备
36.405,127.467,224.543,412.515,63.387,224.51,412.515,63.353,"30110",Dong-gu,悼备
36.405,127.486,221.521,406.011,62.615,221.492,406.011,62.586,"30110",Dong-gu,悼备
36.405,127.505,225.831,415.576,62.654,225.776,415.576,62.599,"30110",Dong-gu,悼备
36.405,127.524,226.638,417.956,62.773,226.604,417.915,62.74,"30110",Dong-gu,悼备
36.404,127.543,217.705,401.2,60.259,217.68,401.2,60.234,"30110",Dong-gu,悼备
36.391,127.296,214.448,393.974,61.106,214.37,393.974,61.028,"30200",Yuseong-gu,蜡己备
36.391,127.315,216.237,396.865,61.39,216.173,396.865,61.326,"30200",Yuseong-gu,蜡己备
36.391,127.334,216.818,397.397,61.325,216.782,397.397,61.289,"30200",Yuseong-gu,蜡己备
36.391,127.353,219.389,402.073,61.919,219.348,402.073,61.878,"30200",Yuseong-gu,蜡己备
36.391,127.372,219.411,403.294,61.937,219.394,403.294,61.92,"30200",Yuseong-gu,蜡己备
36.39,127.391,225.43,412.501,63.592,225.4,412.501,63.561,"30200",Yuseong-gu,蜡己备
36.39,127.41,224.783,411.529,63.588,224.725,411.529,63.53,"30200",Yuseong-gu,蜡己备
36.39,127.429,225.063,412.209,63.819,224.981,412.209,63.737,"30230",Daedeok-gu,措傣备
36.39,127.448,226.329,414.232,64.031,226.32,414.232,64.022,"30230",Daedeok-gu,措傣备
36.39,127.467,224.852,411.657,63.575,224.813,411.657,63.537,"30110",Dong-gu,悼备
36.39,127.486,223.269,409.321,62.765,223.221,409.321,62.718,"30110",Dong-gu,悼备
36.389,127.505,223.214,410.795,61.883,223.146,410.795,61.815,"30110",Dong-gu,悼备
36.389,127.524,223.889,413.407,61.788,223.852,413.407,61.751,"30110",Dong-gu,悼备
36.376,127.296,222.712,408.175,62.871,222.593,408.175,62.752,"30200",Yuseong-gu,蜡己备
36.376,127.314,221.162,404.901,62.379,221.104,404.901,62.32,"30200",Yuseong-gu,蜡己备
36.376,127.334,217.635,397.385,61.565,217.593,397.385,61.523,"30200",Yuseong-gu,蜡己备
36.375,127.353,217.672,397.56,61.519,217.641,397.56,61.488,"30200",Yuseong-gu,蜡己备
36.375,127.371,216.911,397.726,61.5,216.876,397.726,61.465,"30200",Yuseong-gu,蜡己备
36.375,127.391,220.547,404.484,61.966,220.51,404.484,61.929,"30200",Yuseong-gu,蜡己备
36.375,127.41,221.309,404.604,62.396,221.259,404.604,62.347,"30230",Daedeok-gu,措傣备
36.375,127.428,224.447,409.113,63.542,224.325,409.113,63.42,"30230",Daedeok-gu,措傣备
36.375,127.448,225.482,411.306,63.808,225.444,411.306,63.77,"30230",Daedeok-gu,措傣备
36.374,127.466,221.484,404.476,62.462,221.423,404.476,62.401,"30110",Dong-gu,悼备
