困档,版档,穿利 傈玫老荤樊,穿利 流崔老荤樊,穿利 魂鄂老荤樊,穿利 傈玫老荤樊(瘤屈),穿利 流崔老荤樊(瘤屈),穿利 魂鄂老荤樊(瘤屈),SIG_CD,SIG_ENG_NM,SIG_KOR_NM
36.282,127.484,226.064,305.762,70.722,225.907,305.762,70.565,"30110",Dong-gu,悼备
36.268,127.294,227.628,306.246,72.687,227.604,306.246,72.663,"30200",Yuseong-gu,蜡己备
36.268,127.313,226.555,305.735,72.435,226.533,305.735,72.413,"30170",Seo-gu,辑备
36.268,127.332,230.121,312.656,74.017,230.086,312.629,73.983,"30170",Seo-gu,辑备
36.268,127.351,229.004,310.442,73.447,228.974,310.442,73.416,"30170",Seo-gu,辑备
36.268,127.389,229.407,310.852,73.632,229.335,310.682,73.566,"30140",Jung-gu,吝备
36.267,127.408,230.544,313.029,73.645,230.458,313.029,73.559,"30140",Jung-gu,吝备
36.267,127.427,232.422,315.005,73.858,232.402,315.005,73.838,"30140",Jung-gu,吝备
36.267,127.446,225.605,305.79,71.068,225.556,305.79,71.02,"30110",Dong-gu,悼备
36.267,127.465,226.66,306.534,71.033,226.579,306.443,70.954,"30110",Dong-gu,悼备
36.267,127.484,225.463,305.482,70.839,225.399,305.482,70.775,"30110",Dong-gu,悼备
36.253,127.294,228.704,307.912,73.054,228.684,307.912,73.034,"30170",Seo-gu,辑备
36.253,127.313,226.356,305.777,72.186,226.296,305.696,72.127,"30170",Seo-gu,辑备
36.253,127.332,226.347,307.255,72.622,226.312,307.255,72.588,"30170",Seo-gu,辑备
36.253,127.351,230.39,311.65,74.03,230.356,311.65,73.997,"30170",Seo-gu,辑备
36.252,127.389,231.251,312.24,74.144,231.204,312.24,74.097,"30140",Jung-gu,吝备
36.252,127.408,232.963,314.302,74.5,232.85,314.243,74.388,"30140",Jung-gu,吝备
36.252,127.427,228.787,309.741,72.532,228.757,309.741,72.502,"30140",Jung-gu,吝备
36.252,127.446,225.553,305.607,70.764,225.531,305.607,70.742,"30110",Dong-gu,悼备
36.252,127.465,222.593,302.051,70.193,222.524,301.905,70.128,"30110",Dong-gu,悼备
36.251,127.484,223.891,303.028,70.715,223.847,303.028,70.672,"30110",Dong-gu,悼备
36.238,127.294,225.031,302.836,71.815,225.013,302.836,71.796,"30170",Seo-gu,辑备
36.237,127.313,226.041,304.328,72.478,225.992,304.294,72.43,"30170",Seo-gu,辑备
36.237,127.332,227.831,306.241,73.145,227.8,306.241,73.114,"30170",Seo-gu,辑备
36.237,127.351,231.823,311.44,74.493,231.792,311.44,74.462,"30170",Seo-gu,辑备
36.237,127.389,232.461,311.856,74.59,232.442,311.856,74.572,"30140",Jung-gu,吝备
36.237,127.408,235.235,316.498,75.698,235.192,316.412,75.657,"30140",Jung-gu,吝备
36.237,127.427,234.861,316.521,75.104,234.847,316.521,75.09,"30140",Jung-gu,吝备
36.236,127.446,227.963,308.633,71.725,227.951,308.633,71.714,"30110",Dong-gu,悼备
36.236,127.465,222.765,301.124,70.161,222.722,301.037,70.12,"30110",Dong-gu,悼备
36.236,127.483,226.727,305.966,71.564,226.705,305.966,71.542,"30110",Dong-gu,悼备
36.222,127.332,228.262,307.585,73.131,228.237,307.585,73.106,"30170",Seo-gu,辑备
36.222,127.351,231.196,311.34,74.233,231.182,311.34,74.219,"30170",Seo-gu,辑备
36.221,127.408,233.345,313.125,74.873,233.338,313.125,74.866,"30140",Jung-gu,吝备
36.221,127.426,233.669,314.228,75.226,233.663,314.228,75.22,"30110",Dong-gu,悼备
36.221,127.445,227.775,306.357,72.737,227.726,306.296,72.69,"30110",Dong-gu,悼备
36.221,127.464,230.109,309.545,73.403,230.1,309.545,73.394,"30110",Dong-gu,悼备
36.207,127.332,230.659,311.816,73.651,230.646,311.816,73.637,"30170",Seo-gu,辑备
36.206,127.426,232.999,313.26,74.692,232.992,313.26,74.685,"30110",Dong-gu,悼备
36.206,127.445,229.506,309.324,73.484,229.497,309.325,73.475,"30110",Dong-gu,悼备
