困档,版档,穿利 傈玫老荤樊,穿利 流崔老荤樊,穿利 魂鄂老荤樊,穿利 傈玫老荤樊(瘤屈),穿利 流崔老荤樊(瘤屈),穿利 魂鄂老荤樊(瘤屈),SIG_CD,SIG_ENG_NM,SIG_KOR_NM
36.483,127.373,245.483,352.681,71.539,245.465,352.659,71.522,"30200",Yuseong-gu,蜡己备
36.483,127.392,246.278,354.206,71.513,246.254,354.206,71.489,"30200",Yuseong-gu,蜡己备
36.467,127.372,244.521,352.303,70.986,244.506,352.303,70.971,"30200",Yuseong-gu,蜡己备
36.467,127.392,244.25,351.512,70.733,244.216,351.421,70.701,"30200",Yuseong-gu,蜡己备
36.467,127.468,243.972,352.828,70.138,243.919,352.828,70.085,"30230",Daedeok-gu,措傣备
36.452,127.372,247.232,355.115,71.755,247.202,354.973,71.728,"30200",Yuseong-gu,蜡己备
36.452,127.391,241.846,348.772,69.693,241.784,348.13,69.652,"30200",Yuseong-gu,蜡己备
36.452,127.41,242.635,350.571,69.903,242.597,350.309,69.873,"30230",Daedeok-gu,措傣备
36.452,127.429,244.62,352.202,70.47,244.588,352.179,70.439,"30230",Daedeok-gu,措傣备
36.451,127.467,244.484,352.98,70.183,244.46,352.98,70.159,"30230",Daedeok-gu,措傣备
36.451,127.487,243.577,351.698,69.94,243.547,351.698,69.909,"30230",Daedeok-gu,措傣备
36.437,127.353,240.49,347.384,69.397,240.466,347.384,69.373,"30200",Yuseong-gu,蜡己备
36.437,127.372,243.894,351.576,70.374,243.781,350.259,70.316,"30200",Yuseong-gu,蜡己备
36.437,127.391,241.205,347.364,69.44,241.12,346.597,69.382,"30200",Yuseong-gu,蜡己备
36.436,127.41,242.435,349.775,69.792,242.401,349.682,69.76,"30230",Daedeok-gu,措傣备
36.436,127.429,242.562,349.918,69.735,242.531,349.918,69.704,"30230",Daedeok-gu,措傣备
36.436,127.448,242.808,350.157,69.784,242.788,350.157,69.764,"30230",Daedeok-gu,措傣备
36.436,127.467,243.049,351.251,69.708,243.03,351.251,69.689,"30230",Daedeok-gu,措傣备
36.436,127.486,241.442,349.66,69.264,241.42,349.66,69.241,"30110",Dong-gu,悼备
36.422,127.296,237.887,339.894,69.028,237.828,339.894,68.969,"30200",Yuseong-gu,蜡己备
36.422,127.315,239.651,344.378,69.398,239.623,344.378,69.37,"30200",Yuseong-gu,蜡己备
36.422,127.334,243.004,349.175,70.402,242.98,349.175,70.379,"30200",Yuseong-gu,蜡己备
36.422,127.353,241.721,348.579,69.763,241.671,348.557,69.714,"30200",Yuseong-gu,蜡己备
36.421,127.372,239.978,346.855,69.085,239.874,345.763,69.024,"30200",Yuseong-gu,蜡己备
36.421,127.391,240.03,346.746,69.03,239.975,346.602,68.978,"30200",Yuseong-gu,蜡己备
36.421,127.41,243.644,351.587,70.109,243.6,351.495,70.066,"30200",Yuseong-gu,蜡己备
36.421,127.429,241.921,349.342,69.64,241.87,349.319,69.59,"30230",Daedeok-gu,措傣备
36.421,127.448,242.547,350.142,69.798,242.52,350.142,69.771,"30230",Daedeok-gu,措傣备
36.421,127.467,243.339,352.452,69.97,243.316,352.441,69.947,"30230",Daedeok-gu,措傣备
36.42,127.486,241.988,350.301,69.507,241.966,350.301,69.486,"30110",Dong-gu,悼备
36.42,127.524,240.32,351.272,67.275,240.296,351.272,67.251,"30110",Dong-gu,悼备
36.407,127.296,239.617,342.832,69.554,239.56,342.693,69.5,"30200",Yuseong-gu,蜡己备
36.406,127.315,241.35,345.09,70.04,241.288,344.321,70.005,"30200",Yuseong-gu,蜡己备
36.406,127.334,241.18,346.988,69.889,241.095,346.39,69.824,"30200",Yuseong-gu,蜡己备
36.406,127.353,240.453,347.1,69.248,240.364,346.711,69.17,"30200",Yuseong-gu,蜡己备
36.406,127.372,240.075,346.826,69.01,240.044,346.735,68.981,"30200",Yuseong-gu,蜡己备
36.406,127.391,242.918,350.823,70.147,242.875,350.731,70.106,"30200",Yuseong-gu,蜡己备
36.406,127.41,244.285,352.515,70.426,244.226,352.368,70.37,"30200",Yuseong-gu,蜡己备
36.406,127.429,244.174,351.838,70.334,244.08,351.815,70.241,"30230",Daedeok-gu,措傣备
36.405,127.448,242.825,349.391,70.172,242.794,349.391,70.141,"30230",Daedeok-gu,措傣备
36.405,127.467,245.262,353.545,70.716,245.222,353.442,70.679,"30110",Dong-gu,悼备
36.405,127.486,244.699,352.973,70.66,244.658,352.702,70.627,"30110",Dong-gu,悼备
36.405,127.505,242.047,354.187,68.039,241.964,353.526,67.979,"30110",Dong-gu,悼备
36.405,127.524,240.954,351.758,67.222,240.916,351.649,67.187,"30110",Dong-gu,悼备
36.404,127.543,240.804,352.206,67.193,240.776,352.206,67.165,"30110",Dong-gu,悼备
