困档,版档,穿利 傈玫老荤樊,穿利 流崔老荤樊,穿利 魂鄂老荤樊,穿利 傈玫老荤樊(瘤屈),穿利 流崔老荤樊(瘤屈),穿利 魂鄂老荤樊(瘤屈),SIG_CD,SIG_ENG_NM,SIG_KOR_NM
36.483,127.373,242.206,424.681,71.255,242.188,424.681,71.237,"30200",Yuseong-gu,蜡己备
36.483,127.392,243.739,427.55,71.867,243.714,427.503,71.843,"30200",Yuseong-gu,蜡己备
36.467,127.372,241.559,422.256,70.767,241.543,422.256,70.752,"30200",Yuseong-gu,蜡己备
36.467,127.392,240.329,420.832,70.903,240.295,420.746,70.871,"30200",Yuseong-gu,蜡己备
36.467,127.468,238.042,416.171,70.481,237.989,416.171,70.428,"30230",Daedeok-gu,措傣备
36.452,127.372,239.333,419.019,70.599,239.3,418.735,70.572,"30200",Yuseong-gu,蜡己备
36.452,127.391,241.774,423.325,71.319,241.694,422.098,71.277,"30200",Yuseong-gu,蜡己备
36.452,127.41,241.343,423.784,71.268,241.292,423.081,71.237,"30230",Daedeok-gu,措傣备
36.452,127.429,240.218,421.67,70.959,240.184,421.585,70.927,"30230",Daedeok-gu,措傣备
36.451,127.467,235.605,411.261,69.748,235.581,411.261,69.724,"30230",Daedeok-gu,措傣备
36.451,127.487,237.263,417.345,69.714,237.233,417.345,69.684,"30230",Daedeok-gu,措傣备
36.437,127.353,241.858,422.018,71.484,241.833,422.018,71.459,"30200",Yuseong-gu,蜡己备
36.437,127.372,237.866,416.499,70.238,237.75,414.851,70.181,"30200",Yuseong-gu,蜡己备
36.437,127.391,240.848,421.957,71.153,240.747,420.659,71.094,"30200",Yuseong-gu,蜡己备
36.436,127.41,241.149,422.609,70.962,241.11,422.323,70.93,"30230",Daedeok-gu,措傣备
36.436,127.429,242.047,425.477,71.426,242.014,425.392,71.395,"30230",Daedeok-gu,措傣备
36.436,127.448,243.04,427.695,71.666,243.019,427.649,71.646,"30230",Daedeok-gu,措傣备
36.436,127.467,240.053,421.646,70.399,240.034,421.646,70.38,"30230",Daedeok-gu,措傣备
36.436,127.486,241.143,421.794,70.798,241.12,421.794,70.775,"30110",Dong-gu,悼备
36.422,127.296,239.996,417.668,71.299,239.934,417.619,71.238,"30200",Yuseong-gu,蜡己备
36.422,127.315,240.629,418.819,71.095,240.601,418.819,71.067,"30200",Yuseong-gu,蜡己备
36.422,127.334,247.114,430.55,72.748,247.089,430.502,72.723,"30200",Yuseong-gu,蜡己备
36.422,127.353,242.364,423.6,71.359,242.312,423.511,71.309,"30200",Yuseong-gu,蜡己备
36.421,127.372,238.943,417.681,70.783,238.836,416.321,70.72,"30200",Yuseong-gu,蜡己备
36.421,127.391,240.008,418.64,71.07,239.942,418.138,71.017,"30200",Yuseong-gu,蜡己备
36.421,127.41,235.505,412.431,69.629,235.456,412.146,69.586,"30200",Yuseong-gu,蜡己备
36.421,127.429,232.852,407.968,68.809,232.802,407.968,68.759,"30230",Daedeok-gu,措傣备
36.421,127.448,239.188,419.533,70.673,239.161,419.533,70.645,"30230",Daedeok-gu,措傣备
36.421,127.467,240.093,420.094,70.545,240.07,420.094,70.521,"30230",Daedeok-gu,措傣备
36.42,127.486,239.982,420.007,70.457,239.96,420.007,70.436,"30110",Dong-gu,悼备
36.42,127.524,240.019,425.532,69.447,239.993,425.494,69.423,"30110",Dong-gu,悼备
36.407,127.296,239.026,416.979,70.881,238.966,416.762,70.826,"30200",Yuseong-gu,蜡己备
36.406,127.315,241.394,420.942,71.498,241.315,419.67,71.462,"30200",Yuseong-gu,蜡己备
36.406,127.334,246.304,428.896,72.514,246.205,427.872,72.446,"30200",Yuseong-gu,蜡己备
36.406,127.353,244.635,425.256,72.196,244.534,424.544,72.115,"30200",Yuseong-gu,蜡己备
36.406,127.372,238.802,417.101,70.468,238.766,416.818,70.439,"30200",Yuseong-gu,蜡己备
36.406,127.391,242.864,423.77,71.708,242.821,423.722,71.666,"30200",Yuseong-gu,蜡己备
36.406,127.41,241.159,420.495,71.139,241.103,420.447,71.083,"30200",Yuseong-gu,蜡己备
36.406,127.429,236.728,414.115,69.765,236.636,414.115,69.672,"30230",Daedeok-gu,措傣备
36.405,127.448,239.832,419.802,70.636,239.801,419.802,70.605,"30230",Daedeok-gu,措傣备
36.405,127.467,238.068,416.348,70.183,238.025,416.064,70.146,"30110",Dong-gu,悼备
36.405,127.486,240.692,421.806,70.642,240.641,421.157,70.608,"30110",Dong-gu,悼备
36.405,127.505,236.595,419.243,68.402,236.495,417.976,68.342,"30110",Dong-gu,悼备
36.405,127.524,238.659,422.967,68.859,238.623,422.967,68.823,"30110",Dong-gu,悼备
36.404,127.543,236.874,419.378,68.732,236.846,419.378,68.704,"30110",Dong-gu,悼备
36.391,127.296,238.797,415.958,70.763,238.626,413.987,70.673,"30200",Yuseong-gu,蜡己备
36.391,127.315,239.243,417.49,70.821,239.09,415.536,70.747,"30200",Yuseong-gu,蜡己备
36.391,127.334,235.693,412.83,70.246,235.611,411.568,70.206,"30200",Yuseong-gu,蜡己备
36.391,127.353,242.307,422.955,71.974,242.253,422.673,71.927,"30200",Yuseong-gu,蜡己备
36.391,127.372,243.598,426.355,72.034,243.577,426.307,72.014,"30200",Yuseong-gu,蜡己备
36.39,127.391,246.971,429.729,72.868,246.935,429.681,72.833,"30200",Yuseong-gu,蜡己备
36.39,127.41,242.359,422.363,71.485,242.287,422.08,71.42,"30200",Yuseong-gu,蜡己备
36.39,127.429,242.371,423.458,71.346,242.28,423.458,71.255,"30230",Daedeok-gu,措傣备
36.39,127.448,239.512,417.813,70.597,239.501,417.813,70.586,"30230",Daedeok-gu,措傣备
36.39,127.467,237.849,415.856,70.405,237.777,414.86,70.362,"30110",Dong-gu,悼备
36.39,127.486,235.477,411.026,69.374,235.413,410.579,69.321,"30110",Dong-gu,悼备
36.389,127.505,235.783,416.873,68.178,235.68,415.911,68.103,"30110",Dong-gu,悼备
36.389,127.524,234.564,415.262,68.134,234.523,415.262,68.094,"30110",Dong-gu,悼备
36.376,127.296,235.539,409.15,70.012,235.323,407.088,69.879,"30200",Yuseong-gu,蜡己备
36.376,127.314,235.008,410.803,69.636,234.898,409.459,69.571,"30200",Yuseong-gu,蜡己备
