困档,版档,穿利 傈玫老荤樊,穿利 流崔老荤樊,穿利 魂鄂老荤樊,穿利 傈玫老荤樊(瘤屈),穿利 流崔老荤樊(瘤屈),穿利 魂鄂老荤樊(瘤屈),SIG_CD,SIG_ENG_NM,SIG_KOR_NM
36.483,127.373,233.149,415.021,64.696,233.133,415.021,64.681,"30200",Yuseong-gu,蜡己备
36.483,127.392,233.159,417.047,64.649,233.135,416.938,64.627,"30200",Yuseong-gu,蜡己备
36.467,127.372,231.115,410.876,64.001,231.102,410.876,63.987,"30200",Yuseong-gu,蜡己备
36.467,127.392,237.705,421.755,65.724,237.669,421.435,65.694,"30200",Yuseong-gu,蜡己备
36.467,127.468,234.229,418.895,64.104,234.181,418.895,64.056,"30230",Daedeok-gu,措傣备
36.452,127.372,234.046,412.957,65.265,234.005,412.208,65.241,"30200",Yuseong-gu,蜡己备
36.452,127.391,231.117,409.655,63.84,231.004,407.116,63.803,"30200",Yuseong-gu,蜡己备
36.452,127.41,228.543,405.616,63.027,228.465,403.812,62.999,"30230",Daedeok-gu,措傣备
36.452,127.429,233.997,417.774,64.754,233.961,417.452,64.724,"30230",Daedeok-gu,措傣备
36.451,127.467,231.31,412.864,63.255,231.289,412.864,63.234,"30230",Daedeok-gu,措傣备
36.451,127.487,240.924,427.675,66.12,240.895,427.675,66.091,"30230",Daedeok-gu,措傣备
36.437,127.353,229.064,404.61,64.179,229.041,404.61,64.156,"30200",Yuseong-gu,蜡己备
36.437,127.372,229.808,407.032,64.337,229.656,404.01,64.285,"30200",Yuseong-gu,蜡己备
36.437,127.391,233.605,413.578,64.721,233.468,410.904,64.667,"30200",Yuseong-gu,蜡己备
36.436,127.41,234.081,415.42,64.722,234.034,414.676,64.692,"30230",Daedeok-gu,措傣备
36.436,127.429,232.987,415.349,64.689,232.952,415.028,64.661,"30230",Daedeok-gu,措傣备
36.436,127.448,232.948,414.513,64.351,232.927,414.405,64.332,"30230",Daedeok-gu,措傣备
36.436,127.467,232.266,413.109,64.182,232.249,413.109,64.164,"30230",Daedeok-gu,措傣备
36.436,127.486,234.127,415.296,64.178,234.106,415.296,64.157,"30110",Dong-gu,悼备
36.422,127.296,226.477,398.594,64.299,226.419,398.479,64.243,"30200",Yuseong-gu,蜡己备
