困档,版档,穿利 傈玫老荤樊,穿利 流崔老荤樊,穿利 魂鄂老荤樊,穿利 傈玫老荤樊(瘤屈),穿利 流崔老荤樊(瘤屈),穿利 魂鄂老荤樊(瘤屈),SIG_CD,SIG_ENG_NM,SIG_KOR_NM
36.483,127.373,190.429,315.353,52.935,190.417,315.353,52.923,"30200",Yuseong-gu,蜡己备
36.483,127.392,189.84,316.297,52.629,189.821,316.237,52.611,"30200",Yuseong-gu,蜡己备
36.467,127.372,196.542,325.049,54.68,196.53,325.049,54.668,"30200",Yuseong-gu,蜡己备
36.467,127.392,188.591,315.077,51.844,188.549,314.472,51.821,"30200",Yuseong-gu,蜡己备
36.467,127.468,193.882,326.154,53.337,193.841,326.092,53.297,"30230",Daedeok-gu,措傣备
36.452,127.372,191.422,319.084,52.327,191.326,317.052,52.307,"30200",Yuseong-gu,蜡己备
36.452,127.391,190.797,317.367,52.669,190.716,315.954,52.638,"30200",Yuseong-gu,蜡己备
36.452,127.41,192.219,319.273,53.011,192.192,319.14,52.987,"30230",Daedeok-gu,措傣备
36.452,127.429,186.701,312.673,51.34,186.676,312.612,51.317,"30230",Daedeok-gu,措傣备
36.451,127.467,193.346,325.491,52.958,193.328,325.491,52.94,"30230",Daedeok-gu,措傣备
36.451,127.487,189.928,321.314,51.269,189.905,321.252,51.247,"30230",Daedeok-gu,措傣备
36.437,127.353,190.27,316.336,52.303,190.252,316.336,52.284,"30200",Yuseong-gu,蜡己备
36.437,127.372,199.378,329.259,55.094,199.317,328.713,55.049,"30200",Yuseong-gu,蜡己备
36.437,127.391,191.503,318.982,52.843,191.438,318.301,52.799,"30200",Yuseong-gu,蜡己备
36.436,127.41,193.337,319.938,53.505,193.309,319.807,53.481,"30230",Daedeok-gu,措傣备
36.436,127.429,186.451,313.183,51.16,186.428,313.177,51.137,"30230",Daedeok-gu,措傣备
36.436,127.448,188.771,318.078,51.675,188.756,318.078,51.66,"30230",Daedeok-gu,措傣备
36.436,127.467,193.806,326.732,52.82,193.792,326.732,52.806,"30230",Daedeok-gu,措傣备
36.436,127.486,192.442,324.173,52.335,192.425,324.173,52.318,"30110",Dong-gu,悼备
36.422,127.296,185.942,309.935,51.791,185.891,309.67,51.747,"30200",Yuseong-gu,蜡己备
36.422,127.315,189.639,313.862,52.82,189.617,313.803,52.799,"30200",Yuseong-gu,蜡己备
36.422,127.334,193.126,319.733,53.659,193.107,319.673,53.641,"30200",Yuseong-gu,蜡己备
36.422,127.353,189.022,314.682,52.064,188.984,314.622,52.027,"30200",Yuseong-gu,蜡己备
36.421,127.372,192.082,320.034,53.356,192.032,319.903,53.309,"30200",Yuseong-gu,蜡己备
36.421,127.391,192.312,319.71,53.283,192.269,319.592,53.244,"30200",Yuseong-gu,蜡己备
36.421,127.41,192.47,321.42,52.838,192.437,321.358,52.806,"30200",Yuseong-gu,蜡己备
36.421,127.429,190.04,318.084,52.27,190.003,318.084,52.232,"30230",Daedeok-gu,措傣备
36.421,127.448,189.452,318.284,52.107,189.432,318.284,52.087,"30230",Daedeok-gu,措傣备
36.421,127.467,192.571,323.733,52.311,192.528,322.941,52.294,"30230",Daedeok-gu,措傣备
36.42,127.486,192.296,323.901,52.282,192.28,323.901,52.265,"30110",Dong-gu,悼备
36.42,127.524,189.245,322.772,50.107,189.226,322.707,50.089,"30110",Dong-gu,悼备
36.407,127.296,189.713,314.626,52.756,189.561,311.988,52.715,"30200",Yuseong-gu,蜡己备
36.406,127.315,191.885,319.061,53.339,191.784,317.099,53.312,"30200",Yuseong-gu,蜡己备
36.406,127.334,192.075,318.896,52.794,192.008,318.32,52.745,"30200",Yuseong-gu,蜡己备
36.406,127.353,191.457,318.018,53.017,191.391,317.76,52.958,"30200",Yuseong-gu,蜡己备
36.406,127.372,191.768,319.419,52.646,191.745,319.358,52.624,"30200",Yuseong-gu,蜡己备
36.406,127.391,192.514,321.342,52.895,192.482,321.28,52.864,"30200",Yuseong-gu,蜡己备
36.406,127.41,188.794,316.249,51.603,188.752,316.178,51.562,"30200",Yuseong-gu,蜡己备
36.406,127.429,188.66,316.862,51.537,188.592,316.862,51.469,"30230",Daedeok-gu,措傣备
36.405,127.448,191.398,321.122,52.013,191.375,321.122,51.99,"30230",Daedeok-gu,措傣备
36.405,127.467,190.314,320.191,52.054,190.149,317.09,52.027,"30110",Dong-gu,悼备
36.405,127.486,195.049,327.368,53.626,195.019,327.152,53.601,"30110",Dong-gu,悼备
36.405,127.505,192.124,327.16,50.475,192.05,326.273,50.43,"30110",Dong-gu,悼备
36.405,127.524,190.509,324.009,50.222,190.482,324.009,50.196,"30110",Dong-gu,悼备
36.404,127.543,193.191,328.773,50.728,193.17,328.773,50.707,"30110",Dong-gu,悼备
36.391,127.296,189.12,314.355,52.527,188.813,310.036,52.46,"30200",Yuseong-gu,蜡己备
36.391,127.315,189.09,314.722,52.396,188.933,312.2,52.342,"30200",Yuseong-gu,蜡己备
36.391,127.334,193.798,321.598,53.83,193.762,321.41,53.798,"30200",Yuseong-gu,蜡己备
36.391,127.353,197.77,327.266,54.856,197.732,327.155,54.82,"30200",Yuseong-gu,蜡己备
36.391,127.372,195.823,324.777,53.848,195.806,324.715,53.833,"30200",Yuseong-gu,蜡己备
36.39,127.391,192.545,321.858,53.06,192.518,321.796,53.034,"30200",Yuseong-gu,蜡己备
36.39,127.41,193.485,322.956,53.096,193.435,322.894,53.047,"30200",Yuseong-gu,蜡己备
36.39,127.429,188.537,315.515,51.819,188.47,315.515,51.752,"30230",Daedeok-gu,措傣备
36.39,127.448,190.609,320.247,52.199,190.601,320.247,52.191,"30230",Daedeok-gu,措傣备
36.39,127.467,190.166,320.18,52.169,190.135,320.18,52.137,"30110",Dong-gu,悼备
36.39,127.486,193.745,324.547,53.138,193.703,324.482,53.097,"30110",Dong-gu,悼备
36.389,127.505,195.747,332.837,51.855,195.689,332.75,51.798,"30110",Dong-gu,悼备
36.389,127.524,194.174,328.056,50.933,194.144,328.056,50.902,"30110",Dong-gu,悼备
36.376,127.296,189.879,315.541,52.971,189.587,311.823,52.871,"30200",Yuseong-gu,蜡己备
36.376,127.314,187.999,313.467,52.083,187.876,311.504,52.034,"30200",Yuseong-gu,蜡己备
36.376,127.334,193.372,323.645,53.52,193.26,321.662,53.484,"30200",Yuseong-gu,蜡己备
36.375,127.353,193.311,324.004,53.464,193.277,323.744,53.438,"30200",Yuseong-gu,蜡己备
36.375,127.371,192.444,321.948,52.901,192.41,321.753,52.871,"30200",Yuseong-gu,蜡己备
36.375,127.391,191.892,321.125,52.354,191.859,321.052,52.323,"30200",Yuseong-gu,蜡己备
36.375,127.41,191.251,320.627,52.447,191.21,320.627,52.406,"30230",Daedeok-gu,措傣备
36.375,127.428,194.273,324.727,53.414,194.17,324.727,53.311,"30230",Daedeok-gu,措傣备
36.375,127.448,189.143,317.909,52.02,189.111,317.909,51.989,"30230",Daedeok-gu,措傣备
36.374,127.466,190.581,319.897,52.331,190.53,319.897,52.28,"30110",Dong-gu,悼备
36.374,127.485,191.64,322.055,52.526,191.365,318.534,52.418,"30110",Dong-gu,悼备
36.374,127.504,188.8,323.708,49.822,188.72,323.386,49.751,"30110",Dong-gu,悼备
36.374,127.523,188.653,322.989,49.422,188.608,322.989,49.376,"30110",Dong-gu,悼备
36.361,127.276,193.885,321.492,53.915,193.851,321.303,53.886,"30200",Yuseong-gu,蜡己备
36.36,127.295,189.898,316.639,52.258,189.655,313.465,52.158,"30200",Yuseong-gu,蜡己备
36.36,127.314,189.776,317.601,52.581,189.585,314.491,52.528,"30200",Yuseong-gu,蜡己备
36.36,127.333,194.957,325.464,53.308,194.831,323.201,53.271,"30200",Yuseong-gu,蜡己备
36.36,127.352,194.065,323.829,53.203,194.013,323.107,53.175,"30200",Yuseong-gu,蜡己备
36.36,127.371,193.407,323.357,53.322,193.381,323.292,53.297,"30170",Seo-gu,辑备
36.36,127.39,193.745,323.427,53.414,193.718,323.365,53.388,"30170",Seo-gu,辑备
36.36,127.409,198.641,330.979,54.682,198.607,330.979,54.648,"30230",Daedeok-gu,措傣备
36.359,127.428,192.052,321.375,53.014,191.993,321.375,52.956,"30230",Daedeok-gu,措傣备
36.359,127.447,192.975,321.051,53.807,192.9,321.051,53.731,"30230",Daedeok-gu,措傣备
36.359,127.466,192.475,322.629,53.315,192.461,322.629,53.301,"30110",Dong-gu,悼备
36.359,127.485,191.886,322.816,52.86,191.703,320.654,52.763,"30110",Dong-gu,悼备
36.359,127.504,196.94,334.6,51.91,196.898,334.6,51.868,"30110",Dong-gu,悼备
36.345,127.295,187.394,312.623,51.095,187.096,308.709,50.997,"30200",Yuseong-gu,蜡己备
36.345,127.314,192.079,319.4,53.279,191.879,316.257,53.219,"30200",Yuseong-gu,蜡己备
36.345,127.333,194.701,322.616,53.943,194.618,321.265,53.908,"30200",Yuseong-gu,蜡己备
36.345,127.352,189.977,317.625,52.21,189.947,317.512,52.182,"30170",Seo-gu,辑备
36.345,127.371,190.404,318.517,52.427,190.389,318.517,52.412,"30170",Seo-gu,辑备
36.344,127.39,192.993,322.143,53.275,192.965,322.143,53.247,"30170",Seo-gu,辑备
36.344,127.409,195.45,326.658,53.857,195.418,326.658,53.825,"30140",Jung-gu,吝备
36.344,127.428,198.923,330.198,55.182,198.88,330.198,55.138,"30110",Dong-gu,悼备
36.344,127.447,197.433,327.856,54.951,197.372,327.856,54.89,"30110",Dong-gu,悼备
36.344,127.466,196.296,327.224,54.194,196.276,327.224,54.175,"30110",Dong-gu,悼备
36.344,127.485,194.268,325.099,53.21,194.218,325.099,53.16,"30110",Dong-gu,悼备
36.343,127.504,196.549,333.294,51.637,196.518,333.294,51.606,"30110",Dong-gu,悼备
36.33,127.276,190.646,316.394,52.816,190.623,316.394,52.792,"30200",Yuseong-gu,蜡己备
36.33,127.295,190.228,316.647,52.01,190.141,316.647,51.922,"30200",Yuseong-gu,蜡己备
36.33,127.314,189.764,315.098,52.513,189.429,310.468,52.436,"30200",Yuseong-gu,蜡己备
36.329,127.333,195.773,324.617,54.325,195.736,324.425,54.294,"30200",Yuseong-gu,蜡己备
36.329,127.352,187.579,314.083,51.979,187.555,314.083,51.955,"30170",Seo-gu,辑备
36.329,127.371,185.913,311.477,51.504,185.897,311.477,51.489,"30170",Seo-gu,辑备
36.329,127.39,195.245,325.121,53.465,195.208,325.058,53.429,"30170",Seo-gu,辑备
36.329,127.409,197.55,327.165,54.515,197.514,327.165,54.48,"30140",Jung-gu,吝备
36.329,127.428,196.928,327.938,54.421,196.879,327.938,54.372,"30140",Jung-gu,吝备
36.329,127.447,191.857,319.149,52.979,191.802,319.149,52.923,"30110",Dong-gu,悼备
36.328,127.466,195.794,324.681,54.525,195.734,324.681,54.465,"30110",Dong-gu,悼备
36.328,127.485,194.477,324.291,54.067,194.435,324.291,54.025,"30110",Dong-gu,悼备
36.314,127.276,195.778,324.658,53.674,195.736,324.658,53.632,"30200",Yuseong-gu,蜡己备
36.314,127.295,199.076,329.155,54.65,199.004,329.155,54.579,"30200",Yuseong-gu,蜡己备
36.314,127.314,197.873,328.879,54.724,197.782,328.167,54.656,"30200",Yuseong-gu,蜡己备
36.314,127.333,195.774,325.032,54.348,195.75,325.032,54.324,"30200",Yuseong-gu,蜡己备
36.314,127.352,200.258,333.247,55.829,200.236,333.247,55.807,"30170",Seo-gu,辑备
36.314,127.371,199.25,330.395,54.893,199.233,330.395,54.876,"30170",Seo-gu,辑备
36.314,127.39,196.955,327.446,54.471,196.908,327.446,54.424,"30140",Jung-gu,吝备
36.314,127.409,195.704,326.483,53.791,195.623,326.483,53.71,"30140",Jung-gu,吝备
36.313,127.428,193.816,323.786,53.329,193.642,322.007,53.225,"30140",Jung-gu,吝备
36.313,127.447,192.893,321.945,52.902,192.659,318.987,52.802,"30110",Dong-gu,悼备
36.313,127.466,196.853,324.788,54.672,196.658,323.312,54.533,"30110",Dong-gu,悼备
36.313,127.485,193.589,320.679,53.764,193.501,320.679,53.676,"30110",Dong-gu,悼备
36.299,127.276,197.516,324.667,54.43,197.489,324.667,54.402,"30200",Yuseong-gu,蜡己备
36.299,127.295,197.265,326.901,54.138,197.227,326.901,54.099,"30200",Yuseong-gu,蜡己备
36.299,127.314,198.491,328.499,54.98,198.449,328.238,54.944,"30200",Yuseong-gu,蜡己备
36.299,127.333,197.864,325.548,55.251,197.834,325.433,55.223,"30170",Seo-gu,辑备
36.299,127.352,199.413,329.596,55.371,199.39,329.534,55.35,"30170",Seo-gu,辑备
36.298,127.371,197.93,328.082,54.966,197.906,328.082,54.942,"30170",Seo-gu,辑备
36.298,127.39,196.439,327.197,54.217,196.401,327.197,54.18,"30140",Jung-gu,吝备
36.298,127.409,192.344,322.679,53.021,192.302,322.679,52.978,"30140",Jung-gu,吝备
36.298,127.427,194.527,324.561,53.559,194.507,324.561,53.538,"30140",Jung-gu,吝备
36.298,127.446,186.934,312.625,51.588,186.549,308.663,51.453,"30140",Jung-gu,吝备
36.298,127.465,195.461,324.036,54.508,195.339,324.036,54.386,"30110",Dong-gu,悼备
36.298,127.484,193.015,320.813,53.323,192.979,320.813,53.287,"30110",Dong-gu,悼备
36.284,127.257,198.729,328.837,54.468,198.691,328.837,54.429,"30200",Yuseong-gu,蜡己备
36.284,127.276,199.588,329.579,54.858,199.566,329.579,54.836,"30200",Yuseong-gu,蜡己备
36.284,127.295,197.039,325.447,54.274,197.025,325.447,54.26,"30200",Yuseong-gu,蜡己备
36.284,127.313,196.588,326.416,54.341,196.569,326.416,54.322,"30200",Yuseong-gu,蜡己备
36.283,127.332,195.286,324.192,53.937,195.269,324.192,53.92,"30170",Seo-gu,辑备
36.283,127.351,199.315,329.819,54.653,199.288,329.819,54.625,"30170",Seo-gu,辑备
36.283,127.37,199.349,328.574,55.59,199.32,328.574,55.561,"30140",Jung-gu,吝备
36.283,127.389,195.486,324.371,54.156,195.461,324.295,54.133,"30140",Jung-gu,吝备
36.283,127.408,197.695,329.857,54.861,197.655,329.857,54.82,"30140",Jung-gu,吝备
36.283,127.427,198.22,329.33,55.011,198.196,329.33,54.987,"30140",Jung-gu,吝备
36.283,127.446,188.174,313.272,52.244,187.988,311.416,52.133,"30110",Dong-gu,悼备
36.282,127.465,191.914,319.418,53.09,191.608,316.651,52.903,"30110",Dong-gu,悼备
36.282,127.484,191.037,318.399,52.959,190.92,318.399,52.841,"30110",Dong-gu,悼备
36.268,127.294,202.15,332.881,55.747,202.131,332.881,55.728,"30200",Yuseong-gu,蜡己备
36.268,127.313,199.06,331.089,55.012,199.043,331.089,54.996,"30170",Seo-gu,辑备
36.268,127.332,198.409,327.521,55.233,198.384,327.521,55.208,"30170",Seo-gu,辑备
36.268,127.351,198.949,329.1,55.354,198.926,329.1,55.331,"30170",Seo-gu,辑备
36.268,127.389,192.94,321.371,53.534,192.886,321.166,53.485,"30140",Jung-gu,吝备
36.267,127.408,195.032,323.825,54.422,194.965,323.691,54.358,"30140",Jung-gu,吝备
36.267,127.427,197.939,328.366,55.229,197.924,328.366,55.213,"30140",Jung-gu,吝备
36.267,127.446,193.961,323.674,54.047,193.924,323.674,54.01,"30110",Dong-gu,悼备
36.267,127.465,191.141,320.029,53.118,191.055,319.223,53.059,"30110",Dong-gu,悼备
36.267,127.484,191.464,320.274,53.066,191.416,320.274,53.018,"30110",Dong-gu,悼备
36.253,127.294,205.077,336.89,56.389,205.061,336.89,56.373,"30170",Seo-gu,辑备
36.253,127.313,200.527,332.918,55.872,200.459,332.185,55.827,"30170",Seo-gu,辑备
36.253,127.332,196.925,325.573,54.967,196.899,325.573,54.941,"30170",Seo-gu,辑备
36.253,127.351,199.008,328.913,55.339,198.983,328.913,55.314,"30170",Seo-gu,辑备
36.252,127.389,199.572,330.928,55.25,199.537,330.928,55.215,"30140",Jung-gu,吝备
36.252,127.408,198.924,330.415,55.41,198.649,326.421,55.327,"30140",Jung-gu,吝备
36.252,127.427,195.924,325.831,54.829,195.901,325.831,54.806,"30140",Jung-gu,吝备
36.252,127.446,194.672,324.208,53.595,194.656,324.208,53.578,"30110",Dong-gu,悼备
36.252,127.465,193.715,324.51,53.644,193.608,323.018,53.594,"30110",Dong-gu,悼备
36.251,127.484,194.301,324.912,53.818,194.268,324.912,53.784,"30110",Dong-gu,悼备
36.238,127.294,202.9,335.119,55.95,202.885,335.119,55.936,"30170",Seo-gu,辑备
36.237,127.313,206.255,339.858,56.785,206.217,339.858,56.747,"30170",Seo-gu,辑备
36.237,127.332,202.242,334.696,55.645,202.218,334.696,55.622,"30170",Seo-gu,辑备
36.237,127.351,202.107,334.747,55.736,202.083,334.683,55.713,"30170",Seo-gu,辑备
36.237,127.389,198.578,329.074,55.235,198.564,329.074,55.221,"30140",Jung-gu,吝备
36.237,127.408,194.881,326.382,53.543,194.852,326.382,53.514,"30140",Jung-gu,吝备
36.237,127.427,194.108,324.555,53.982,194.097,324.555,53.972,"30140",Jung-gu,吝备
36.236,127.446,195.687,326.309,54.204,195.678,326.309,54.195,"30110",Dong-gu,悼备
36.236,127.465,193.821,323.977,53.852,193.789,323.977,53.82,"30110",Dong-gu,悼备
36.236,127.483,195.518,326.182,54.388,195.501,326.182,54.371,"30110",Dong-gu,悼备
36.222,127.332,202.647,336.148,55.826,202.628,336.148,55.807,"30170",Seo-gu,辑备
