困档,版档,穿利 傈玫老荤樊,穿利 流崔老荤樊,穿利 魂鄂老荤樊,穿利 傈玫老荤樊(瘤屈),穿利 流崔老荤樊(瘤屈),穿利 魂鄂老荤樊(瘤屈),SIG_CD,SIG_ENG_NM,SIG_KOR_NM
36.483,127.373,195.792,366.578,53.732,195.779,366.578,53.719,"30200",Yuseong-gu,蜡己备
36.483,127.392,198.565,371.599,54.349,198.546,371.599,54.33,"30200",Yuseong-gu,蜡己备
36.467,127.372,192.297,360.996,53.333,192.285,360.996,53.321,"30200",Yuseong-gu,蜡己备
36.467,127.392,198.321,370.462,54.52,198.297,370.462,54.495,"30200",Yuseong-gu,蜡己备
36.467,127.468,205.077,385.342,55.609,205.035,385.342,55.567,"30230",Daedeok-gu,措傣备
36.452,127.372,205.125,381.04,56.716,205.104,381.04,56.695,"30200",Yuseong-gu,蜡己备
36.452,127.391,202.007,377.521,55.494,201.974,377.521,55.462,"30200",Yuseong-gu,蜡己备
36.452,127.41,203.938,381.133,56.276,203.913,381.133,56.251,"30230",Daedeok-gu,措傣备
36.452,127.429,198.806,374.5,54.434,198.781,374.5,54.41,"30230",Daedeok-gu,措傣备
36.451,127.467,204.37,383.057,55.537,204.351,383.057,55.518,"30230",Daedeok-gu,措傣备
36.451,127.487,202.892,381.02,54.932,202.868,381.02,54.908,"30230",Daedeok-gu,措傣备
36.437,127.353,199.447,371.165,54.728,199.428,371.165,54.709,"30200",Yuseong-gu,蜡己备
36.437,127.372,205.934,381.325,57.062,205.887,381.325,57.015,"30200",Yuseong-gu,蜡己备
36.437,127.391,199.287,371.41,54.82,199.241,371.41,54.775,"30200",Yuseong-gu,蜡己备
36.436,127.41,200.175,375.647,54.866,200.15,375.647,54.841,"30230",Daedeok-gu,措傣备
36.436,127.429,199.444,375.373,54.496,199.42,375.373,54.472,"30230",Daedeok-gu,措傣备
36.436,127.448,199.841,376.482,54.473,199.825,376.482,54.457,"30230",Daedeok-gu,措傣备
36.436,127.467,203.185,381.273,55.505,203.17,381.273,55.49,"30230",Daedeok-gu,措傣备
36.436,127.486,203.819,384.074,55.427,203.801,384.074,55.409,"30110",Dong-gu,悼备
36.422,127.296,195.993,365.407,54.415,195.946,365.407,54.368,"30200",Yuseong-gu,蜡己备
36.422,127.315,201.912,376.582,55.504,201.89,376.582,55.482,"30200",Yuseong-gu,蜡己备
36.422,127.334,206.081,383.457,56.59,206.062,383.457,56.571,"30200",Yuseong-gu,蜡己备
36.422,127.353,203.781,380.34,55.876,203.742,380.34,55.836,"30200",Yuseong-gu,蜡己备
36.421,127.372,200.892,375.162,55.06,200.843,375.162,55.011,"30200",Yuseong-gu,蜡己备
36.421,127.391,198.927,373,54.252,198.886,373,54.211,"30200",Yuseong-gu,蜡己备
36.421,127.41,200.221,375.977,54.949,200.188,375.977,54.915,"30200",Yuseong-gu,蜡己备
36.421,127.429,196.748,371.923,53.456,196.709,371.923,53.417,"30230",Daedeok-gu,措傣备
36.421,127.448,197.785,371.966,53.261,197.764,371.966,53.241,"30230",Daedeok-gu,措傣备
36.421,127.467,203.022,380.979,54.855,203.004,380.979,54.837,"30230",Daedeok-gu,措傣备
36.42,127.486,205.299,385.774,55.72,205.282,385.774,55.703,"30110",Dong-gu,悼备
36.42,127.524,201.175,382.011,53.093,201.156,382.011,53.074,"30110",Dong-gu,悼备
36.407,127.296,197.462,367.737,54.933,197.419,367.737,54.89,"30200",Yuseong-gu,蜡己备
36.406,127.315,205.033,380.618,56.865,205.004,380.618,56.836,"30200",Yuseong-gu,蜡己备
36.406,127.334,204.809,381.439,56.321,204.757,381.44,56.268,"30200",Yuseong-gu,蜡己备
36.406,127.353,204.092,379.467,56.095,204.03,379.467,56.032,"30200",Yuseong-gu,蜡己备
36.406,127.372,203.03,378.786,55.524,203.008,378.786,55.501,"30200",Yuseong-gu,蜡己备
36.406,127.391,203.276,380.269,55.514,203.243,380.269,55.481,"30200",Yuseong-gu,蜡己备
36.406,127.41,201.773,379.107,55.333,201.729,379.107,55.289,"30200",Yuseong-gu,蜡己备
36.406,127.429,198.057,374.177,53.647,197.986,374.177,53.576,"30230",Daedeok-gu,措傣备
36.405,127.448,195.828,369.93,52.74,195.804,369.93,52.717,"30230",Daedeok-gu,措傣备
36.405,127.467,198.176,373.435,53.177,198.148,373.435,53.149,"30110",Dong-gu,悼备
36.405,127.486,200.927,377.007,54.57,200.901,377.007,54.544,"30110",Dong-gu,悼备
36.405,127.505,201.259,382.512,53.248,201.212,382.512,53.201,"30110",Dong-gu,悼备
36.405,127.524,201.366,382.527,53.23,201.337,382.462,53.202,"30110",Dong-gu,悼备
36.404,127.543,206.414,390.716,55.257,206.391,390.716,55.234,"30110",Dong-gu,悼备
36.391,127.296,196.622,366.948,54.707,196.552,366.948,54.638,"30200",Yuseong-gu,蜡己备
36.391,127.315,200.776,375.194,55.538,200.719,375.194,55.48,"30200",Yuseong-gu,蜡己备
36.391,127.334,205.942,384.228,57.047,205.909,384.228,57.014,"30200",Yuseong-gu,蜡己备
36.391,127.353,205.4,381.853,57.02,205.363,381.853,56.982,"30200",Yuseong-gu,蜡己备
36.391,127.372,200.94,376.175,55.287,200.924,376.175,55.272,"30200",Yuseong-gu,蜡己备
36.39,127.391,203.544,380.3,56.08,203.517,380.3,56.053,"30200",Yuseong-gu,蜡己备
36.39,127.41,207.201,386.673,57.18,207.149,386.673,57.127,"30200",Yuseong-gu,蜡己备
36.39,127.429,196.687,371.688,53.269,196.619,371.688,53.201,"30230",Daedeok-gu,措傣备
36.39,127.448,196.388,370.883,52.856,196.38,370.883,52.848,"30230",Daedeok-gu,措傣备
36.39,127.467,202.379,381.035,54.487,202.346,381.035,54.454,"30110",Dong-gu,悼备
36.39,127.486,199.053,373.259,54.081,199.012,373.259,54.04,"30110",Dong-gu,悼备
36.389,127.505,201.344,382.985,53.489,201.286,382.985,53.43,"30110",Dong-gu,悼备
36.389,127.524,201.604,383.229,53.282,201.572,383.229,53.25,"30110",Dong-gu,悼备
36.376,127.296,197.122,368.665,54.763,197.018,368.665,54.659,"30200",Yuseong-gu,蜡己备
36.376,127.314,198.361,372.701,54.664,198.31,372.701,54.613,"30200",Yuseong-gu,蜡己备
36.376,127.334,201.68,378.233,55.868,201.642,378.233,55.83,"30200",Yuseong-gu,蜡己备
36.375,127.353,203.852,382.316,56.266,203.824,382.316,56.238,"30200",Yuseong-gu,蜡己备
36.375,127.371,202.088,379.31,55.698,202.056,379.31,55.667,"30200",Yuseong-gu,蜡己备
36.375,127.391,197.189,372.26,54.442,197.156,372.26,54.41,"30200",Yuseong-gu,蜡己备
36.375,127.41,197.37,373.013,54.128,197.327,373.013,54.085,"30230",Daedeok-gu,措傣备
36.375,127.428,199.131,375.595,54.173,199.026,375.595,54.069,"30230",Daedeok-gu,措傣备
