행정구역별(시군구),연령별,항목,단위,2015 년,2016 년,2017 년,2018 년,2019 년
종로구,합계,1인가구,,22776,22835,23638,25326,24671
종로구,합계,남자,,11608,11185,11594,12635,11942
종로구,합계,여자,,11168,11650,12044,12691,12729
종로구,20세 미만,1인가구,,396,526,507,798,507
종로구,20세 미만,남자,,134,169,191,304,158
종로구,20세 미만,여자,,262,357,316,494,349
종로구,20~24,1인가구,,2455,2973,2992,3741,3280
종로구,20~24,남자,,1122,1214,1138,1761,1236
종로구,20~24,여자,,1333,1759,1854,1980,2044
종로구,25~29,1인가구,,3634,3547,3627,4007,3903
종로구,25~29,남자,,2001,1948,2082,2259,2178
종로구,25~29,여자,,1633,1599,1545,1748,1725
종로구,30~34,1인가구,,2754,2486,2552,2587,2647
종로구,30~34,남자,,1540,1345,1374,1441,1466
종로구,30~34,여자,,1214,1141,1178,1146,1181
종로구,35~39,1인가구,,1739,1723,1796,1880,1872
종로구,35~39,남자,,951,900,967,976,959
종로구,35~39,여자,,788,823,829,904,913
종로구,40~44,1인가구,,1707,1497,1518,1454,1405
종로구,40~44,남자,,983,859,824,778,727
종로구,40~44,여자,,724,638,694,676,678
종로구,45~49,1인가구,,1651,1633,1723,1734,1704
종로구,45~49,남자,,982,949,982,964,944
종로구,45~49,여자,,669,684,741,770,760
종로구,50~54,1인가구,,1625,1544,1540,1578,1521
종로구,50~54,남자,,1075,970,931,908,880
종로구,50~54,여자,,550,574,609,670,641
종로구,55~59,1인가구,,1534,1537,1660,1683,1718
종로구,55~59,남자,,850,829,947,972,993
종로구,55~59,여자,,684,708,713,711,725
종로구,60~64,1인가구,,1299,1379,1471,1508,1572
종로구,60~64,남자,,668,716,756,801,817
종로구,60~64,여자,,631,663,715,707,755
종로구,65~69,1인가구,,1107,1072,1151,1113,1201
종로구,65~69,남자,,475,439,502,494,562
종로구,65~69,여자,,632,633,649,619,639
종로구,70~74,1인가구,,1120,1067,1065,1111,1120
종로구,70~74,남자,,390,367,372,409,416
종로구,70~74,여자,,730,700,693,702,704
종로구,75~79,1인가구,,802,894,998,1014,1047
종로구,75~79,남자,,213,264,287,307,320
종로구,75~79,여자,,589,630,711,707,727
종로구,80~84,1인가구,,577,579,608,674,704
종로구,80~84,남자,,131,127,146,165,170
종로구,80~84,여자,,446,452,462,509,534
종로구,85세 이상,1인가구,,376,378,430,444,470
종로구,85세 이상,남자,,93,89,95,96,116
종로구,85세 이상,여자,,283,289,335,348,354
